family,dimension,norm_budget,scale,actual_max_l2_squared,secret_l1_radius,shift_count,worst_shift,lattice_point_count,log2_lattice_point_count,overlap_count,acceptance_exact,acceptance,expected_trials,elapsed_seconds
cube,2,8,5,50,2,13,"(-2,0)",121,6.918863237274595,99,9/11,0.8181818181818182,1.2222222222222223,1.869996776804328e-05
cross_polytope,2,8,8,64,2,13,"(-2,0)",145,7.1799090900149345,113,113/145,0.7793103448275862,1.2831858407079646,0.000132200017105788
hybrid_H,2,8,7,53,2,13,"(-2,0)",165,7.366322214245816,135,9/11,0.8181818181818182,1.2222222222222223,0.00012820004485547543
hexagon_blocks,2,8,5,50,2,13,"(-2,0)",91,6.507794640198696,69,69/91,0.7582417582417582,1.318840579710145,0.00046880001900717616
cube,2,12,8,128,2,13,"(-2,0)",289,8.174925682500678,255,15/17,0.8823529411764706,1.1333333333333333,1.1800031643360853e-05
cross_polytope,2,12,12,144,2,13,"(-2,0)",313,8.290018846932618,265,265/313,0.8466453674121406,1.181132075471698,0.00024150003446266055
hybrid_H,2,12,11,137,2,13,"(-2,0)",417,8.703903573444663,371,371/417,0.8896882494004796,1.123989218328841,0.00022580003133043647
hexagon_blocks,2,12,8,128,2,13,"(-2,0)",217,7.7615512324444795,183,183/217,0.8433179723502304,1.185792349726776,0.0010679999832063913
cube,2,16,11,242,2,13,"(-2,0)",529,9.047123912114026,483,21/23,0.9130434782608695,1.0952380952380953,1.1699972674250603e-05
cross_polytope,2,16,16,256,2,13,"(-2,0)",545,9.090112419664289,481,481/545,0.8825688073394495,1.133056133056133,0.0003493999829515815
hybrid_H,2,16,14,221,2,13,"(-2,0)",661,9.368506461507693,603,603/661,0.9122541603630863,1.0961857379767828,0.0003185000387020409
hexagon_blocks,2,16,11,242,2,13,"(-2,0)",397,8.632995197142957,351,351/397,0.8841309823677582,1.131054131054131,0.001898599963169545
cube,4,8,4,64,2,41,"(-2,0,0,0)",6561,12.679700005769249,5103,7/9,0.7777777777777778,1.2857142857142858,4.3899985030293465e-05
cross_polytope,4,8,8,64,2,41,"(-2,0,0,0)",3649,11.833285435584482,2241,2241/3649,0.6141408605097287,1.6282909415439535,0.0003084000200033188
hybrid_H,4,8,5,50,2,41,"(-2,0,0,0)",6561,12.679700005769249,4615,4615/6561,0.703398872123152,1.4216684723726978,0.0002911000046879053
hexagon_blocks,4,8,4,64,2,41,"(-2,0,0,0)",3721,11.861474675125773,2623,43/61,0.7049180327868853,1.4186046511627908,0.00035089999437332153
cube,4,12,6,144,2,41,"(-2,0,0,0)",28561,14.801758872564369,24167,11/13,0.8461538461538461,1.1818181818181819,4.799995804205537e-05
cross_polytope,4,12,12,144,2,41,"(-2,0,0,0)",16641,14.022454510846508,11969,11969/16641,0.7192476413677062,1.3903417160999247,0.0005546000320464373
hybrid_H,4,12,8,128,2,41,"(-2,0,0,0)",38785,15.243211181194747,31227,31227/38785,0.8051308495552404,1.242034137124924,0.0005611000233329833
hexagon_blocks,4,12,6,144,2,41,"(-2,0,0,0)",16129,13.977369373544331,12827,101/127,0.7952755905511811,1.2574257425742574,0.0006431000074371696
cube,4,16,8,256,2,41,"(-2,0,0,0)",83521,16.349851365001356,73695,15/17,0.8823529411764706,1.1333333333333333,4.340003943070769e-05
cross_polytope,4,16,16,256,2,41,"(-2,0,0,0)",50049,15.61105362324701,39041,39041/50049,0.780055545565346,1.2819599907789248,0.00091409997548908
hybrid_H,4,16,11,242,2,41,"(-2,0,0,0)",132353,17.014031370713802,113207,113207/132353,0.8553413976260456,1.1691238174317842,0.0009461999870836735
hexagon_blocks,4,16,8,256,2,41,"(-2,0,0,0)",47089,15.523102464888959,39711,183/217,0.8433179723502304,1.185792349726776,4.650000482797623e-05
cube,8,8,2,32,2,145,"(-2,0,0,0,0,0,0,0)",390625,18.575424759098897,234375,3/5,0.6,1.6666666666666667,0.000235399988014251
cross_polytope,8,8,8,64,2,145,"(-2,0,0,0,0,0,0,0)",265729,18.019596157564912,108545,108545/265729,0.40848006803924297,2.448099866414851,0.0008441999671049416
hybrid_H,8,8,4,41,2,145,"(-2,0,0,0,0,0,0,0)",2008257,20.937512474519384,1055271,351757/669419,0.5254661131518525,1.9030722913829718,0.0008497999515384436
