family,block_dimension,ambient_dimension,blocks,erosion,regime,scale,one_block_ratio,acceptance_expression,acceptance_exact,acceptance,negative_log_acceptance,theorem_limit
cross,4,16,4,2,fixed t=32,32,579081/746241,(579081/746241)^4,1388264582098321807441/3828524288618651260081,0.3626108854070282,1.0144249606844444,
cross,4,16,4,2,linear t=n,16,29961/50049,(29961/50049)^4,122816065582081/956338368927841,0.12842323342079345,2.0524239584501562,0.1353352832366127
cross,4,32,8,2,fixed t=32,32,579081/746241,(579081/746241)^8,1927278549908628089826795887142465082968481/14657598228542949694426556076255809104126561,0.1314866542156689,2.028849921368889,
cross,4,32,8,2,linear t=n,32,579081/746241,(579081/746241)^8,1927278549908628089826795887142465082968481/14657598228542949694426556076255809104126561,0.1314866542156689,2.028849921368889,0.1353352832366127
cross,4,64,16,2,fixed t=32,32,579081/746241,(579081/746241)^16,3714402608937904254909662683004487578311544225997588534824821982740510175098839447361/214845185829385416942134454009617451417039310526474428495832708832823305728038705686721,0.017288740236830885,4.057699842737778,
cross,4,64,16,2,linear t=n,64,10181641/11548161,(10181641/11548161)^16,13337808545491312429114121707842724166630933083095850069687790666675543767276576551986106784518979802461564698241/100047278701551561556441491404918420715102471583506327678886641178746079732265205685701979199328279925988708802561,0.13331505582754513,2.0150401112321754,0.1353352832366127
cross,4,128,32,2,fixed t=32,32,579081/746241,(579081/746241)^32,13796786741284709685861160139681941390185419217533602298727110552109171046449270361923452098464479733040034757623072230560877644419199234717083236938164032704627889864321/46158453874063152366350191969418715278860850965427548754039455509787033260153005957463819603118997531074773250992010247080340904458915843877973746850912643805960544195731841,0.00029890053897661524,8.115399685475555,
cross,4,128,32,2,linear t=n,128,170752009/181808129,(170752009/181808129)^32,272713293203705587191615549596568855275111395538056871426147016541462045045255209841201066847853596663121585018492228190947182346171748969986599496903693763750780907821649091293564554017063948564656655738505255767101597857447935660637607295735880746015702532865281/2030605319017606099326785616188756457236402348166719721996185106776895408388870549246145512650464533691098304249701004769657957449771363506264296589196593268041649594779229694970131282599357668165379083046409919975358712161896254472181874056186668084120301487882241,0.13430147683038796,2.007668179010145,0.1353352832366127
cross,4,256,64,2,fixed t=32,32,579081/746241,(579081/746241)^64,190351324384489558718928118369306194348446998636941724234313418617870783012201783890589390898904387559340561887853601402192103199978128321159611733408588495900744241097936353193783275748240713489107070048322224454476077205490674996718614240029844897848265553451884589929246215375147789220701473208005400355916171539107779189685043788791041/2130602864044015639054422559724293604442243890548677939167997677897904516587135650525890909155065122561234451616379780686753362594497005340479322540594512928368749800205002030052115792764353952666092087015300458503073752233622350180878742351495205137314763617444216854255756963381203952956214749912677249213892588682151089411744139273961581249281,8.934153220051109e-08,16.23079937095111,
cross,4,256,64,2,linear t=n,256,2796941321/2885900289,(2796941321/2885900289)^64,38702117421827018756431121766946974122913313209768421015378550799979651336480860672303444612794451779683590575859783784907085674905045528596246994409518292521980491256142727842759174679339518736361711551420257111419532279033239752246719205822424454389943049491068531421662123838851076534211777919300528676243476270796098597944549834875554248623615170025663727216307261478239222543136761098449357704024453970102419153347710590669194746696261457344895063769412326995382133774970820460724621788276961464684589413384190601539798040997501673380588570300753123736580235445822558422476326904939376645572789434881/287081090205605283013881715232147325278777636349655883970572955096315666647262751180931068415402323740012244096728482664648173121157119818517825207025280557898192005893791580354892623503565498733670332853201584208816340049326112633718149035143234886765036353034018828148462996079318457985051227831684113553131845687387488220985440961566465387030580615447227928911115366231370741428485618881089993070456999314253135709324379751151818837680083535507162603171630570899281136938120005550829476223612243766067847829259869389194689804822035431596804501012750093923345506032285059569199158501384272000723346391041,0.13481249285387922,2.0038704078406133,0.1353352832366127
hexagon,2,16,8,2,fixed t=32,32,2791/3169,(2791/3169)^8,3681956827479272702544861121/10171333950379646419178115841,0.36199350502515387,1.0161290092367885,
hexagon,2,16,8,2,linear t=n,16,631/817,(631/817)^8,25132452704633039250241/198507286250470283744641,0.12660720510239457,2.066665858550318,0.1353352832366127
hexagon,2,32,16,2,fixed t=32,32,2791/3169,(2791/3169)^16,13556806079421230727489285679870301061649711525177376641/103456034330145623524908732904786969543437372010815137281,0.1310392976803961,2.032258018473577,
hexagon,2,32,16,2,linear t=n,32,2791/3169,(2791/3169)^16,13556806079421230727489285679870301061649711525177376641/103456034330145623524908732904786969543437372010815137281,0.1310392976803961,2.032258018473577,0.1353352832366127
hexagon,2,64,32,2,fixed t=32,32,2791/3169,(2791/3169)^32,183786991075032440815354116350247843582790238786583344743669115476292187645294571751666145122878437522772442881/10703151039320269813684448169239889529197807835352378553478379561748136740457179241610866141728698258406876072961,0.017171297536571463,4.064516036947154,
hexagon,2,64,32,2,linear t=n,64,11719/12481,(11719/12481)^32,16013923011165597264707832649723605992268112260916979713940970717509563625299976591446983657249887145990584504174988589636569711361/120220979502163891167012581759346616682624231204486907827339128647084058168702554748208627018904802888327495103226852276089571317761,0.1332040636956993,2.015873013115244,0.1353352832366127
hexagon,2,128,64,2,fixed t=32,32,2791/3169,(2791/3169)^64,33777658088414054055308906461661524845047670408318973344367169157917731462079185874335349003731847222992439475378826398789678750310379282108919695282850312094414370716099852951781900864332215225818139069141029768407580161/114557442170502571899296648435040614053167248378637819261544322887237654902840660248067571151992477471158334146881740691218816184543549291973671413149246305125390359600776856363550386378600746117055362344671342624164995307521,0.0002948534590894652,8.129032073894308,
hexagon,2,128,64,2,linear t=n,128,48007/49537,(48007/49537)^64,401321393592840255121101891978584949783615663026264209396578239972363894446106863452990711962139604775822421201395157520453673252981833938608892630514095708506307576025319991059597414480629024248352850053809291709684887442629582890379665029629245191082737109884735762335001349982739750524999376934401/2988827957720982622593451461676247702214801173445834009676302181747407685253553636535261385027563796252510316747703153023486077166965713784088506050784280502099540359967662551534993976307077745397593873734071497129072941291086256098252799920901060482198258146468406156742090965014566000481323446722561,0.1342738355200788,2.0078740155791497,0.1353352832366127
hexagon,2,256,128,2,fixed t=32,32,2791/3169,(2791/3169)^128,1140930185937803368364519608127071484172703518227433977259108307995424120688710156816481414238941135021806635032606007828128972971844922193009668732868572033850181546650832424724009637847852137436212562458500018643004503624650974157768395514987529647093101293766687404428724806567006893710360122523222536185678010955696961943453395614902947529396196953641308212307664279647193371723068414766330945011713165656718336503915913260586883640785921/13123407556648041011480138312057934932529748202335321234238688899362929446318944443436901862165533286062792137058102161888554076477821217691786502224744320131457938965573765601982285681376740732548848047650087824277138698302442098431899775862467999244065723722283437758193041065348002861140998825523158044698701996337731961909803943322687846353695111264822653232132551208154031527292528287029749730127889833561394576881468919872893601711949359165441,8.693856233702292e-08,16.258064147788616,
hexagon,2,256,128,2,linear t=n,256,194311/197377,(194311/197377)^128,84657514553269337690871526615853723142995507290933892784016928689656528554113448605623039350814044875697318731796344995504920905814337366083070018036263384524192957155346049991609370044081526482269902126955358223513572308790919808092782345879650934014164580999693777539314915435341962021124267106407040352818458955708078220195840184368796636402832783867571865849638402556575011252865445493357757402057907882756741216817251862136770872936977049124984837071606002786736726381820853804342877836894456017186212609702830290447020409536875712378021487730708839259471547773053287176316500201993298817675378940644814710407575799529896865759167178516141898809608797057927377822337428481/627997035111564625763610753188940740506531546335556049574654313170512407376260193503108292500713401110842624664429340999975199658629725836246116973135277080730478105685328473272180233322496801038299053896663661038917135744334841729200769428517330604003889293248415550538060002853124091079004995111242230867125152266978093046407992345141379098034119178402193011738202836310925048943866603454652563993282233671630158424397561875673057846389628874705763704814077977203480716449445558739212228686063954711105979278277524503235677430817453456968368852028670755253767661278893643959292140577203888607526936356980929329080169434065990018411032493905895014287482479020273807213541294081,0.13480559591850588,2.0039215686170007,0.1353352832366127
