family,geometry_class,source_constraint,dimension,secret_l1_radius,required_acceptance,source_scale,acceptance_expression,acceptance_exact,acceptance,reciprocal_acceptance_exact,reciprocal_acceptance,source_count,target_count,target_entropy_bits,target_support_log_cardinality,target_coordinate_box_upper_bound,source_max_l2_squared,target_max_l2_squared,target_max_l2
cube,integral_rational,||x||_inf <= 24,8,2,1/2,24,(45/49)^8,16815125390625/33232930569601,0.5059778088305645,33232930569601/16815125390625,1.9763712608488475,33232930569601,16815125390625,43.9348247706374,44,48,4608,3872,62.22539674441618
cube,integral_rational,||x||_inf <= 57,8,2,3/4,57,(111/115)^8,23045377697175681/30590228625390625,0.7533574848161633,30590228625390625/23045377697175681,1.3273910728371183,30590228625390625,23045377697175681,54.35532693080085,55,56,25992,24200,155.56349186104046
cube,integral_rational,||x||_inf <= 153,8,2,9/10,153,(303/307)^8,71046228456258335361/78905450517641748001,0.9003969686526757,78905450517641748001/71046228456258335361,1.1106212424241797,78905450517641748001,71046228456258335361,65.94539186778361,66,72,187272,182408,427.0924958366747
cross_polytope,integral_rational,||x||_1 <= 24,8,2,1/2,24,L_8(22)/L_8(24),3750455/7335239,0.5112928154079233,7335239/3750455,1.9558264263935976,872893441,446304145,28.733451964620272,29,48,576,484,22.0
cross_polytope,integral_rational,||x||_1 <= 56,8,2,3/4,56,L_8(54)/L_8(56),29413246337/39210729713,0.75013259259106,39210729713/29413246337,1.3330976548370788,666582405121,500025187729,38.8632098132413,39,56,3136,2916,54.0
cross_polytope,integral_rational,||x||_1 <= 153,8,2,9/10,153,L_8(151)/L_8(153),1764747091380737/1959888299386513,0.9004324848171912,1959888299386513/1764747091380737,1.1105774356897211,1959888299386513,1764747091380737,50.648382866775954,51,72,23409,22801,151.0
cross_blocks_2,integral_rational,4 blocks: ||x_block||_1 <= 24,8,2,1/2,24,(L_2(22)/L_2(24))^4,1053022816561/2080520644801,0.5061342790288538,2080520644801/1053022816561,1.9757602704143102,2080520644801,1053022816561,39.93767383520455,40,48,2304,1936,44.0
cross_blocks_2,integral_rational,4 blocks: ||x_block||_1 <= 57,8,2,3/4,57,(L_2(55)/L_2(57))^4,1440803766642241/1912467619869361,0.7533742018286621,1912467619869361/1440803766642241,1.327361618665338,1912467619869361,1440803766642241,50.35579528125872,51,56,12996,12100,110.0
cross_blocks_2,integral_rational,4 blocks: ||x_block||_1 <= 153,8,2,9/10,153,(L_2(151)/L_2(153))^4,7104932389959121/7890879937890625,0.9003979842403226,7890879937890625/7104932389959121,1.110619989719005,4931799961181640625,4440582743724450625,61.94545472380791,62,72,93636,91204,302.0
cross_blocks_4,integral_rational,2 blocks: ||x_block||_1 <= 24,8,2,1/2,24,(L_4(22)/L_4(24))^2,29598105681/58371043201,0.5070683006140437,58371043201/29598105681,1.9721209130782413,58371043201,29598105681,34.78478579323863,35,48,1152,968,31.11269837220809
cross_blocks_4,integral_rational,2 blocks: ||x_block||_1 <= 57,8,2,3/4,57,(L_4(55)/L_4(57))^2,4455590623929/5913393472009,0.7534744043364444,5913393472009/4455590623929,1.3271850964607896,53220541248081,40100315615361,45.18867882520155,46,56,6498,6050,77.78174593052023
cross_blocks_4,integral_rational,2 blocks: ||x_block||_1 <= 153,8,2,9/10,153,(L_4(151)/L_4(153))^2,123381767377393281/137029329990223441,0.9004040768950423,137029329990223441/123381767377393281,1.110612474621844,137029329990223441,123381767377393281,56.775906830444015,57,72,46818,45602,213.54624791833734
cross_blocks_8,integral_rational,1 blocks: ||x_block||_1 <= 24,8,2,1/2,24,(L_8(22)/L_8(24))^1,3750455/7335239,0.5112928154079233,7335239/3750455,1.9558264263935976,872893441,446304145,28.733451964620272,29,48,576,484,22.0
cross_blocks_8,integral_rational,1 blocks: ||x_block||_1 <= 56,8,2,3/4,56,(L_8(54)/L_8(56))^1,29413246337/39210729713,0.75013259259106,39210729713/29413246337,1.3330976548370788,666582405121,500025187729,38.8632098132413,39,56,3136,2916,54.0
cross_blocks_8,integral_rational,1 blocks: ||x_block||_1 <= 153,8,2,9/10,153,(L_8(151)/L_8(153))^1,1764747091380737/1959888299386513,0.9004324848171912,1959888299386513/1764747091380737,1.1105774356897211,1959888299386513,1764747091380737,50.648382866775954,51,72,23409,22801,151.0
hexagon_blocks,integral_rational,"4 blocks: |x|,|y|,|x+y| <= 24",8,2,1/2,24,(H(22)/H(24))^4,5323914784321/10520947447201,0.5060299760110842,10520947447201/5323914784321,1.9761675145863211,10520947447201,5323914784321,42.27562461800834,43,48,4608,3872,62.22539674441618
hexagon_blocks,integral_rational,"4 blocks: |x|,|y|,|x+y| <= 57",8,2,3/4,57,(H(55)/H(57))^4,7292490650158561/9679915385406721,0.753363057403642,9679915385406721/7292490650158561,1.327381254194169,9679915385406721,7292490650158561,52.69533305472823,53,56,25992,24200,155.56349186104046
hexagon_blocks,integral_rational,"4 blocks: |x|,|y|,|x+y| <= 153",8,2,9/10,153,(H(151)/H(153))^4,22479797191471029601/24966530899311576961,0.9003973071841905,24966530899311576961/22479797191471029601,1.1106208248526384,24966530899311576961,22479797191471029601,64.2852628227524,65,72,187272,182408,427.0924958366747
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 12, ||x_block||_1 <= 33",8,2,1/2,12,"(C_8(10,31)/C_8(12,33))^1",4360159937/8348977729,0.5222387792286325,8348977729/4360159937,1.914832907424148,8348977729,4360159937,32.02173391010882,33,40,369,301,17.349351572897472
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 27, ||x_block||_1 <= 76",8,2,3/4,27,"(C_8(25,74)/C_8(27,76))^1",624662387831/827548688567,0.7548346054570856,827548688567/624662387831,1.3247935279735301,5792840819969,4372636714817,41.99164063078957,42,48,1942,1826,42.731721238442994
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 72, ||x_block||_1 <= 203",8,2,9/10,72,"(C_8(70,201)/C_8(72,203))^1",12889630089435489/14301674443865729,0.9012672005664418,14301674443865729/12889630089435489,1.1095488656100045,14301674443865729,12889630089435489,53.517060379585914,54,64,13849,13521,116.27983488120371
hybrid_blocks_4,integral_rational,"2 blocks: ||x_block||_inf <= 17, ||x_block||_1 <= 34",8,2,1/2,17,"(C_4(15,32)/C_4(17,34))^2",272485044001/522695742529,0.5213071808900033,522695742529/272485044001,1.9182547961314227,522695742529,272485044001,37.98738609002586,38,40,1156,908,30.133038346638727
hybrid_blocks_4,integral_rational,"2 blocks: ||x_block||_inf <= 38, ||x_block||_1 <= 76",8,2,3/4,38,"(C_4(36,74)/C_4(38,76))^2",224453162661121/298534294641025,0.751850513292004,298534294641025/224453162661121,1.3300516290418753,298534294641025,224453162661121,47.67340775313886,48,56,5776,5192,72.05553413860729
hybrid_blocks_4,integral_rational,"2 blocks: ||x_block||_inf <= 102, ||x_block||_1 <= 204",8,2,9/10,102,"(C_4(100,202)/C_4(102,204))^2",692889761664800001/769741367818789249,0.9001591841532915,769741367818789249/692889761664800001,1.1109146222183144,769741367818789249,692889761664800001,59.26540345181064,60,64,41616,40008,200.0199990001
hybrid_blocks_8,irrational_sqrt_threshold,"||x_block||_inf <= 12, ||x_block||_1 <= 33",8,2,1/2,12,"(C_8(10,31)/C_8(12,33))^1",4360159937/8348977729,0.5222387792286325,8348977729/4360159937,1.914832907424148,8348977729,4360159937,32.02173391010882,33,40,369,301,17.349351572897472
