dimension,secret_l1_radius,anchor_threshold,cube_first_feasible_scale,family,acceptance_exact,acceptance,reciprocal_acceptance,target_count,target_support_log_cardinality,target_coordinate_box_upper_bound,target_max_l2_squared,target_max_l2,pareto_optimal
8,2,1/2,24,cube,16815125390625/33232930569601,0.5059778088305645,1.9763712608488475,16815125390625,44,48,3872,62.22539674441618,False
8,2,1/2,24,cross_polytope,3750455/7335239,0.5112928154079233,1.9558264263935976,446304145,29,48,484,22.0,True
8,2,1/2,24,hexagon_blocks,5323914784321/10520947447201,0.5060299760110842,1.9761675145863211,5323914784321,43,48,3872,62.22539674441618,False
8,2,1/2,24,hybrid_full,523915571083/719050582891,0.7286213008500123,1.3724550721113922,1571746713249,41,48,1409,37.53664875824692,True
8,2,1/2,24,hybrid_blocks_4,554600431225/875098508089,0.6337577153869351,1.5778900606984467,4991403881025,43,48,1944,44.090815370097204,False
8,2,1/2,24,hybrid_blocks_8,523915571083/719050582891,0.7286213008500123,1.3724550721113922,1571746713249,41,48,1409,37.53664875824692,True
8,2,3/4,57,cube,23045377697175681/30590228625390625,0.7533574848161633,1.3273910728371183,23045377697175681,55,56,24200,155.56349186104046,False
8,2,3/4,57,cross_polytope,578072315393/766735974545,0.7539392106077224,1.3263668820115313,578072315393,40,56,3025,55.0,True
8,2,3/4,57,hexagon_blocks,7292490650158561/9679915385406721,0.753363057403642,1.327381254194169,7292490650158561,53,56,24200,155.56349186104046,False
8,2,3/4,57,hybrid_full,281676419906615/321320719505847,0.8766207804457795,1.1407441191292313,1971734939346305,51,56,8451,91.92932067626738,True
8,2,3/4,57,hybrid_blocks_4,6185822657300001/7473550111391809,0.8276953476060933,1.2081740013306295,6185822657300001,53,56,12108,110.03635762783135,False
8,2,3/4,57,hybrid_blocks_8,281676419906615/321320719505847,0.8766207804457795,1.1407441191292313,1971734939346305,51,56,8451,91.92932067626738,True
8,2,9/10,153,cube,71046228456258335361/78905450517641748001,0.9003969686526757,1.1106212424241797,71046228456258335361,66,72,182408,427.0924958366747,False
8,2,9/10,153,cross_polytope,1764747091380737/1959888299386513,0.9004324848171912,1.1105774356897211,1764747091380737,51,72,22801,151.0,True
8,2,9/10,153,hexagon_blocks,22479797191471029601/24966530899311576961,0.9003973071841905,1.1106208248526384,22479797191471029601,65,72,182408,427.0924958366747,False
8,2,9/10,153,hybrid_full,5638723270563930369/5920244205562765441,0.9524477495819661,1.049926361250688,5638723270563930369,63,72,61986,248.96987769607793,True
8,2,9/10,153,hybrid_blocks_4,18234362769077180961/19556222758779330625,0.932407193045051,1.0724927987033268,18234362769077180961,64,72,91212,302.0132447426768,False
8,2,9/10,153,hybrid_blocks_8,5638723270563930369/5920244205562765441,0.9524477495819661,1.049926361250688,5638723270563930369,63,72,61986,248.96987769607793,True
8,2,99/100,1593,cube,10536420847605608984233408641/10642814871313900423786175521,0.9900032063890296,1.010097738619891,10536420847605608984233408641,94,96,20250248,4500.027555471189,False
8,2,99/100,1593,cross_polytope,37331938929668843304887/37708905783988872037543,0.9900032407071305,1.0100977036052217,261323572507681903134209,78,96,2531281,1591.0,True
8,2,99/100,1593,hexagon_blocks,116725249380241865908561/117903910399900108410481,0.9900032067158713,1.0100977382864154,3333789847549087932214410721,92,96,20250248,4500.027555471189,False
8,2,99/100,1593,hybrid_full,813305079076298401261435713/817107935093273500691687489,0.995345956325169,1.004675805075869,813305079076298401261435713,90,96,6807603,2609.138363521567,True
8,2,99/100,1593,hybrid_blocks_4,2640730843861920327387514401/2658478933715372557481001025,0.9933239682179282,1.0067209007289424,2640730843861920327387514401,92,96,10125132,3182.0012570707763,False
8,2,99/100,1593,hybrid_blocks_8,813305079076298401261435713/817107935093273500691687489,0.995345956325169,1.004675805075869,813305079076298401261435713,90,96,6807603,2609.138363521567,True
16,2,1/2,47,cube,22113743972843938840712550613441/44012666865176569775543212890625,0.5024404460785047,1.9902856304760013,22113743972843938840712550613441,105,112,32400,180.0,False
16,2,1/2,47,cross_polytope,111229124667529219/218776356602559395,0.508414740947505,1.96689812363889,1223520371342821409,61,112,2025,45.0,True
16,2,1/2,47,hexagon_blocks,2214584387947050352798081560481/4407538481863623590319555719041,0.5024537839113014,1.9902327975631904,2214584387947050352798081560481,101,112,32400,180.0,False
16,2,1/2,47,hybrid_full,5547984707734554695629158849/6801058042214489302823858689,0.8157531774170946,1.2258609928634085,5547984707734554695629158849,93,112,8136,90.19977827023745,True
16,2,1/2,47,hybrid_blocks_4,1642968365618122385131367208001/2601936333295759627618873989121,0.631440648486985,1.5836801168821357,1642968365618122385131367208001,101,112,16216,127.34205903785285,False
16,2,1/2,47,hybrid_blocks_8,157845507705433689403862433409/217289589554209543287804180225,0.7264292229980687,1.3765966020376617,157845507705433689403862433409,97,112,11300,106.30145812734649,False
16,2,3/4,112,cube,32379965296718346628931149666317491521/43143988327398919500410556793212890625,0.7505093189577747,1.3324284918789424,32379965296718346628931149666317491521,125,128,193600,440.0,False
16,2,3/4,112,cross_polytope,317445720750569921768557/422598381072048347516109,0.7511759035736791,1.3312461105881506,1587228603752849608842785,81,128,12100,110.0,True
16,2,3/4,112,hexagon_blocks,3241829709737326859978182756648818241/4319497960236399583445780216393293441,0.750510762959107,1.3324259282534592,3241829709737326859978182756648818241,122,128,193600,440.0,False
16,2,3/4,112,hybrid_full,6519567470906927062662296042508097/7097515828020831798473890474122753,0.9185703320544665,1.0886482668816535,6519567470906927062662296042508097,113,128,48436,220.08180297334897,True
16,2,3/4,112,hybrid_blocks_4,2174623581898075571540179037273424001/2633568004911052753929142987322741761,0.8257328376722599,1.2110454548701237,2174623581898075571540179037273424001,121,128,96816,311.15269563351046,False
16,2,3/4,112,hybrid_blocks_8,208386859336057644387111084450316609/238095365561537488963972381705883841,0.8752243406526892,1.1425642016014554,208386859336057644387111084450316609,118,128,66072,257.0447431868623,False
16,2,9/10,305,cube,339640175957642923441240650188821913222822401/377276160684924519615303206456477038025021761,0.9002428760434916,1.1108113450393904,339640175957642923441240650188821913222822401,148,160,1468944,1212.0,False
16,2,9/10,305,cross_polytope,1480701825168616794381737999267/1644708222983920571873367330307,0.9002823749991629,1.1107626093434628,16287720076854784738199117991937,104,160,91809,303.0,True
16,2,9/10,305,hexagon_blocks,34002614173989497451220254283463223672117121/37770486017928312688534822722320569392486721,0.9002429610741483,1.1108112401199162,34002614173989497451220254283463223672117121,145,160,1468944,1212.0,False
16,2,9/10,305,hybrid_full,62029299401171385828220608147554587609601/63989061994316575996781887081902455664449,0.9693734752148851,1.0315941436073706,62029299401171385828220608147554587609601,136,160,367272,606.02970224239,True
16,2,9/10,305,hybrid_blocks_4,21793067549931378651137491960173835705227841/23375110921110287950442972209234605033306241,0.9323193213277909,1.0725938818642302,21793067549931378651137491960173835705227841,144,160,734488,857.0227534902443,False
16,2,9/10,305,hybrid_blocks_8,2076861956374003699492301614569907926705025/2180720955450870939065434093911009817619521,0.9523740078631958,1.050007656386655,2076861956374003699492301614569907926705025,141,160,496268,704.4629159863563,False
16,2,99/100,3185,cube,7293862934213581495967310161718882363191527314699965448737281/7367526070617951320047732939750378104634486677947073446809921,0.9900016456408425,1.0100993310497837,7293862934213581495967310161718882363191527314699965448737281,203,208,162103824,12732.0,False
16,2,99/100,3185,cross_polytope,348619188968111881668966316126340364157620809729/352139996046794909693294989682651359339786097185,0.9900016836536366,1.0100992922653063,348619188968111881668966316126340364157620809729,158,208,10131489,3183.0,True
16,2,99/100,3185,hexagon_blocks,730209928273269779559207384962043059479934491742004398893441/737584560013834806787068666635861642653037235271238795231041,0.9900016457225912,1.0100993309663755,730209928273269779559207384962043059479934491742004398893441,199,208,162103824,12732.0,False
16,2,99/100,3185,hybrid_full,1266605349410792941849472110873223686407261270276021830145/1270378474097086482747615586894890515237034257954171848513,0.9970299207966545,1.002978926852037,1266605349410792941849472110873223686407261270276021830145,190,208,40525992,6366.002827520579,True
16,2,99/100,3185,hybrid_blocks_4,457013176315415165788958108633711526908220856439760702327361/460085119127702569518927026199197642475257690863034057930881,0.9933230989558809,1.0067217817154734,457013176315415165788958108633711526908220856439760702327361,199,208,81051928,9002.884426671266,False
16,2,99/100,3185,hybrid_blocks_8,43336491182612079028252324975487072676921008501733033940225/43539155465462490308139294218426232727147728539156750435329,0.9953452408370398,1.0046765272711264,43336491182612079028252324975487072676921008501733033940225,195,208,54465156,7380.051219334457,False
32,2,1/2,93,cube,2502850282287956791921714396116065687396746297791522429305645028544636161/4999555676450423117483802409775566433246911861221928525275400251491268481,0.5006145434237721,1.9975448439049766,2502850282287956791921714396116065687396746297791522429305645028544636161,241,256,264992,514.7737367038065,False
32,2,1/2,93,cross_polytope,2576900394438122082872619217658856397/5083270967995197686552209856511844365,0.506937444543593,1.9726299778473102,12884501972190610414363096088294281985,124,256,8281,91.0,True
32,2,1/2,93,hexagon_blocks,25089051872086838755392253560604855238283637029448012456185537924137281/50116168412942338117409340590712713192192134004445284548901892656208961,0.5006179176620309,1.9975313801594772,25089051872086838755392253560604855238283637029448012456185537924137281,234,256,264992,514.7737367038065,False
32,2,1/2,93,hybrid_full,3301498301378414995337076720599634193643847244882874697883085/3760188357252610491826326221187286040040960602230849288031821,0.8780140747498781,1.1389339063669022,16507491506892074976685383602998170968219236224414373489415425,204,256,46166,214.86274688740252,True
32,2,1/2,93,hybrid_blocks_4,11628161069734445923654640722903589696690103129474439845397174237481601/18451469414503556270032156845999678181572872026181710403977636312890625,0.6302024412535009,1.5867916950796876,11628161069734445923654640722903589696690103129474439845397174237481601,233,256,132528,364.04395339024654,False
32,2,1/2,93,hybrid_blocks_8,115617881196057060568662266872039647115253119819840410690810825896961/159472614023148681514065872576979393568530804806420556993765061027201,0.7250014800614871,1.379307529020755,115617881196057060568662266872039647115253119819840410690810825896961,227,256,91212,302.0132447426768,False
32,2,3/4,223,cube,4840823398637121817594316231261586037729374423908919771371304056934258080637309360001/6454175051018557059360065507127750577424170774872938433629826443050948524736655575041,0.7500297652870717,1.3332804193674275,4840823398637121817594316231261586037729374423908919771371304056934258080637309360001,282,288,1562912,1250.1647891378161,False
32,2,3/4,223,cross_polytope,3879084007865697775387838753616517679108829888525/5167059584067070369440300504804860235121607199949,0.7507333609674407,1.3320308540855827,19395420039328488876939193768082588395544149442625,164,288,48841,221.0,True
32,2,3/4,223,hexagon_blocks,48518934607523479788256039273878744574957305462606394368702893819534528273883493441/64689314158154914188231719678449003860691280076060046619576624519525027878407206401,0.7500301284521664,1.3332797737921478,48518934607523479788256039273878744574957305462606394368702893819534528273883493441,275,288,1562912,1250.1647891378161,False
32,2,3/4,223,hybrid_full,24578660833422941894573203559761532182975132927487138791973405772386129793/25947051542222059140478102269298517447719181903766862326213629628629520385,0.9472621886701686,1.0556739326879165,24578660833422941894573203559761532182975132927487138791973405772386129793,244,288,267921,517.6108576913741,True
32,2,3/4,223,hybrid_blocks_4,20320947270918450162576915816573670942540018361131700329393309298497882980068872321/24618225347668220143006374905155449638557390860563326057775958597622587863812890625,0.8254432228131019,1.2114703620583502,20320947270918450162576915816573670942540018361131700329393309298497882980068872321,274,288,781488,884.0180993622246,False
32,2,3/4,223,hybrid_blocks_8,184810695346468907456160631042763983212793556362086155473469440309724440005450625/211218949610297513107763238136214003728803458817332867378878060897010098849713921,0.8749721352532418,1.1428935387874626,184810695346468907456160631042763983212793556362086155473469440309724440005450625,267,288,529112,727.4008523503392,False
32,2,9/10,608,cube,482553675321363246856277403020168772905012700568927863682872053465915242429315757511710125564606081/536165052894026226479343933647752624529743549898105261126637936771944336827023423175481911485634561,0.9000095636907179,1.1110993042109973,482553675321363246856277403020168772905012700568927863682872053465915242429315757511710125564606081,328,352,11751552,3428.0536751923823,False
32,2,9/10,608,cross_polytope,41042520500075997913269197272089741383648354407720181325869285/45600199833523002062966692673797704963840821880315725083791269,0.9000513298168394,1.1110477445808564,1846913422503419906097113877244038362264175948347408159664117825,211,352,367236,606.0,True
32,2,9/10,608,hexagon_blocks,4836457949978693935224452731684965153807899668237411628020905616007681894085918366451028980671361/5373784935234237653775223666461738631060856969394759124967243692112900636464030696126050259898881,0.9000095851003531,1.1110992777799114,4836457949978693935224452731684965153807899668237411628020905616007681894085918366451028980671361,322,352,11751552,3428.0536751923823,False
32,2,9/10,608,hybrid_full,2208217764331882793639519621659832007368373808985633928549919659656839736552986388376193/2252498253155255984119409996569517565993913707330000830437376531672268155579861669756929,0.9803416101382783,1.0200525915236311,2208217764331882793639519621659832007368373808985633928549919659656839736552986388376193,291,352,2001829,1414.8600637518891,True
32,2,9/10,608,hybrid_blocks_4,1935301127518048198615335682815204573050227319439244210349802414092978457363228621153169860399361/2076130651435773309333149915618526911075822128447352922897528303493960745563109468204623812890625,0.9321673114260257,1.07276879133447,1935301127518048198615335682815204573050227319439244210349802414092978457363228621153169860399361,320,352,5875808,2424.006600651079,False
32,2,9/10,608,hybrid_blocks_8,215704379143382597097376519806901143644701691675686369143747550096615334535701737906781640625/226518004182808901703124939477908458791669859945854962564665500857762410552054260455566258481,0.9522615207632711,1.050131689872825,17472054710613990364887498104358992635220837025730595900643551557825842097391840770449312890625,314,352,3957988,1989.469275962813,False
32,2,99/100,6369,cube,229069030417797370825156396547341562657151195503725878330311428099757639381001634010647733561613778757153466367162764072418212890625/231382656877878175241804726061377994663225778276620321880349677426225581417478242905999905535412132216120653157279925823137876321921,0.9900008648387942,1.010100127703256,229069030417797370825156396547341562657151195503725878330311428099757639381001634010647733561613778757153466367162764072418212890625,437,448,1297238048,36017.19100651798,False
32,2,99/100,6369,cross_polytope,290202579328036978984303858946020382491053146039532411904591281616251880538363881408372607888043/293133650618160526200379260426983928289682003813601627772352414635132575657370276933810587102571,0.9900009047615567,1.0101000869699726,870607737984110936952911576838061147473159438118597235713773844848755641615091644225117823664129,319,448,40538689,6367.0,True
32,2,99/100,6369,hexagon_blocks,2295866367967292505098213896033715765854879863477754355150088276871784476959104334215237801526098224782491099791217238585790625281/2319054911425487997743997260497923079926987311714130979894011535626956793355151405744740194708009771218128180995954208042908397441,0.9900008648592362,1.010100127682399,2295866367967292505098213896033715765854879863477754355150088276871784476959104334215237801526098224782491099791217238585790625281,430,448,1297238048,36017.19100651798,False
32,2,99/100,6369,hybrid_full,330610494169921093450299247270260058164016545875635013057137642939872618373130528257394561767418981130834054871137231531/331237421674074341153782650521624217647205026649149567987327596131786462764642919784989347732401478481055538012971384363,0.9981073167971639,1.001896272245463,991831482509763280350897741810780174492049637626905039171412928819617855119391584772183685302256943392502164613411694593,399,448,220257926,14841.089110978344,True
32,2,99/100,6369,hybrid_blocks_4,136724871482120279751325204879015747394092510207559681377674452968033269185071434017759140681267328981600026432804174500390625/137643966508099287364748230893302161404699744202136579893634130843156849204453312460768143801530293627450289677800431248399201,0.9933226639038703,1.0067222226359833,897051881794191155448444669211222318652640959471799069518922085923266279123253678590517722009794945448277773425628188897062890625,429,448,648619056,25468.00062823935,False
32,2,99/100,6369,hybrid_blocks_8,12901921409798025074341866279012405631367759873760900321834591310245729425045602027267025625014502010813430354294863624356241/12962262260475231391299020311679963800880211910746914134559178062660688984865794472634687398257438509978400498301374462704401,0.9953448827477285,1.0046768887176278,8063700881123765671463666424382753519604849921100562701146619568903580890653501267041891015634063756758393971434289765222650625,422,448,435738648,20874.353834310656,False
