parameter_set,test_case_id,rho_sha256,rank_defect,classical_defect_budget,passes_classical_budget,qrom_defect_budget,passes_qrom_budget
ML-DSA-44,1,6d93783d12f4a20827d1292ac5bb91d9a1fec083a8250ed79ff42e472a0a756f,0,51,True,27,True
ML-DSA-44,2,f7d81e6063f1d263d99109b14a594455134a78317a01f92cc1b4196024e2dcfb,0,51,True,27,True
ML-DSA-44,3,7ae412f960a4503b3f78e8242262a6e5a7d5d8c9674369895e50cad22840e6ef,0,51,True,27,True
ML-DSA-44,4,8b9e36317d227e56509c162a7513580bbac533eef3e2f2f4f32201c49b35881a,0,51,True,27,True
ML-DSA-44,5,18978b2b0db5422903be23f66c077e7b07edac711235d0e6ee50b8139a04ea50,0,51,True,27,True
ML-DSA-44,6,8058046d3b58652b509e18ebf07bb2f4e32f2653a07d78e127b10e23d29f8fbe,0,51,True,27,True
ML-DSA-44,7,be4724f0607d9df6a0e770cd80916a856a517bb7f6812d3b7722f908d9196d80,0,51,True,27,True
ML-DSA-44,8,3b70152b33384291229aacf73a8d22b2137a302c2cfa23828db0133f58c76acf,0,51,True,27,True
ML-DSA-44,9,787e27ff6af563334f25bbf9498f1f5d38f1b51a8a3f38c00e5afada68701c15,0,51,True,27,True
ML-DSA-44,10,69757ec9107ea0dab64137beed0662f1c7135e0a8de2ec37a0d29ec81ffc8657,0,51,True,27,True
ML-DSA-44,11,26c446a9d75b5cd87001dc19af7f0dabc85fab0ed039f87a6ddba9d9404912e5,0,51,True,27,True
ML-DSA-44,12,b73d2081159383788d093eefe1264979b4e626042b914b0932f5667ec2a8e36d,0,51,True,27,True
ML-DSA-44,13,3daeea5a7bac5c364b5a53ab67c3b0e496f359a74e9342d077cceaf816a92b1f,0,51,True,27,True
ML-DSA-44,14,701c3235091ad5943d04ff9a939aff98aaf5c863884570b56861c210378e0155,0,51,True,27,True
ML-DSA-44,15,c34dc5c7fcdf6040bb33a11675774013911fa27b5bc5915492a43ea6e27a03ad,0,51,True,27,True
ML-DSA-44,16,c9c364b318d31e3d4427c9f2e4f3ff6cf5f16bbe1fe9b6542956dc1d0905a20d,0,51,True,27,True
ML-DSA-44,17,5c269ff44883e0c45ac471fb444107ef66aac20ba09767296419a98e2ecbcc14,0,51,True,27,True
ML-DSA-44,18,e2b76f05b101940ce7cdd6db4bca4a0241496b80d246b0a9996235cee238e174,0,51,True,27,True
ML-DSA-44,19,1566a4480bd981078a0e11e5de68049956dfbddca268715aa096720b4b6bcb74,0,51,True,27,True
ML-DSA-44,20,c4a6c60fa3616caea3e7a8ce3e20bb22b56d2f3dfdd789b3ade37a12017ab4f7,0,51,True,27,True
ML-DSA-44,21,ab782bc464371a2a8f595556913cefd4dbefff6688319e6280a4d1b74a8c708d,0,51,True,27,True
ML-DSA-44,22,67ef6bc0ef2e1cdfe89d6541717cb4207abebbf6f7e097a2e5060601bb17641b,0,51,True,27,True
ML-DSA-44,23,b02a8a4ee7aa42bd78d3f2214e54960a9c466eb1a0dbee921f7b20da740267f0,0,51,True,27,True
ML-DSA-44,24,7e6c10d872ea6f6725867548efeff24bfb6f831531457a132ad7e940897a03aa,0,51,True,27,True
ML-DSA-44,25,3e6be0aa363499e42ee6cb77c902c0a2981fa746c4d4ad5c18a9f83f19a9deb1,0,51,True,27,True
ML-DSA-65,26,b9d90b682afe46b3972a0795eb999326d30d2a6128a26fe53b8a19bd277030c3,0,272,True,240,True
ML-DSA-65,27,0efe20a78152ea41abbf248f2654a80a25f85b5542460ca25ad93e766d7186ce,0,272,True,240,True
ML-DSA-65,28,d958cf8696def1726ec8f8ce7a3771ff53dbd536c8b0bf9013e609cde25b3f22,0,272,True,240,True
ML-DSA-65,29,c6570da7dcb2a22923b9133d73bcb9798fd450c1d035be8f7da0a6aaa60b6709,0,272,True,240,True
ML-DSA-65,30,f8510d9e5a93084e693bd8315ecadfdfea8c39a0669195c135cbfd689bc718f3,0,272,True,240,True
ML-DSA-65,31,561cfe7410e6713e5229b29dcfe3dd9289240acf7a4583e51a0442de86fb35c6,0,272,True,240,True
ML-DSA-65,32,dceec7482949832d3a7a31d3c7f35a88dbbeee531d078c19050f4f9a2c8dbe07,0,272,True,240,True
ML-DSA-65,33,9f4d45eac17744d30ffa1c92d65dd07d6dfdec93897e347f229cd41c2f99b94f,0,272,True,240,True
ML-DSA-65,34,beedf82dcacd0426e5b979dde8a5af03424ccfb520b36e511b04f322d26ab1ba,0,272,True,240,True
ML-DSA-65,35,a0d757ff98913cabe8527fcc96012a0fa5fd7924da11cebf79714921c3cbfff4,0,272,True,240,True
